sheet_name,table_name,date,value,frequency,time_period_description,average_sales_2022,note_ref,dataset_code
Table 5,Index numbers of sales per week - Annually,1996,42.3,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1996,44.3,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1996,37.3,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1996,48.3,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1996,38.6,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,1997,44.6,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1997,45.5,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1997,39.8,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1997,52.8,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1997,40.6,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,1998,46.1,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1998,46.9,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1998,40.6,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1998,55.6,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1998,42.0,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,1999,47.3,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1999,47.8,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1999,41.7,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1999,58.1,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1999,43.0,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2000,48.9,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2000,49.1,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2000,45.1,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2000,59.5,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2000,43.8,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2001,51.5,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2001,51.5,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2001,47.6,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2001,62.7,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2001,46.4,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2002,53.9,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2002,53.2,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2002,49.2,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2002,66.2,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2002,49.7,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2003,55.0,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2003,54.9,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2003,49.3,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2003,69.4,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2003,49.1,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2004,57.5,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2004,56.9,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2004,52.6,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2004,72.1,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2004,51.8,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2005,58.2,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2005,58.5,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2005,53.7,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2005,70.8,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2005,51.9,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2006,59.6,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2006,60.6,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2006,55.6,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2006,72.2,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2006,52.1,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2007,61.7,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2007,62.9,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2007,57.0,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2007,75.6,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2007,53.5,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2008,63.6,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2008,66.6,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2008,57.5,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2008,73.4,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2008,56.3,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2009,64.9,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2009,69.7,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2009,58.6,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2009,73.0,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2009,55.9,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2010,66.5,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2010,70.5,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2010,62.9,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2010,72.7,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2010,58.2,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2011,68.9,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2011,73.2,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2011,66.3,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2011,70.6,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2011,62.5,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2012,70.7,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2012,75.4,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2012,68.2,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2012,72.7,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2012,63.5,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2013,73.0,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2013,77.9,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2013,71.3,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2013,74.5,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2013,65.4,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2014,75.8,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2014,76.6,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2014,74.2,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2014,81.0,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2014,72.2,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2015,77.2,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2015,76.5,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2015,77.7,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2015,84.6,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2015,72.9,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2016,79.8,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2016,78.2,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2016,79.4,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2016,88.0,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2016,77.0,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2017,83.3,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2017,80.4,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2017,86.1,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2017,91.9,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2017,79.9,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2018,86.6,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2018,84.2,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2018,88.9,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2018,90.5,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2018,86.1,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2019,89.6,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2019,88.0,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2019,93.7,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2019,86.7,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2019,91.1,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2020,89.9,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2020,94.7,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2020,74.7,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2020,98.5,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2020,87.0,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2021,95.8,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2021,96.9,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2021,85.9,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2021,103.8,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2021,95.6,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2022,100.0,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2022,100.0,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2022,100.0,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2022,100.0,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2022,100.0,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2023,105.0,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2023,110.3,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2023,102.1,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2023,100.5,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2023,101.6,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,2024,106.5,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,2024,112.6,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,2024,97.8,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,2024,99.7,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,2024,107.7,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Quarterly,1988 Q2,27.5,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1988 Q3,28.4,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1988 Q4,34.7,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1989 Q1,28.5,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1989 Q2,29.8,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1989 Q3,30.3,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1989 Q4,36.9,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1990 Q1,30.8,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1990 Q2,32.3,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1990 Q3,32.7,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1990 Q4,38.7,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1991 Q1,32.1,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1991 Q1,33.8,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1991 Q1,26.6,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1991 Q1,38.3,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1991 Q1,28.7,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1991 Q2,33.4,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1991 Q2,36.1,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1991 Q2,29.5,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1991 Q2,35.9,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1991 Q2,30.0,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1991 Q3,34.0,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1991 Q3,36.3,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1991 Q3,30.4,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1991 Q3,37.3,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1991 Q3,30.4,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1991 Q4,39.7,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1991 Q4,38.7,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1991 Q4,37.4,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1991 Q4,45.9,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1991 Q4,38.5,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1992 Q1,33.1,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1992 Q1,36.3,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1992 Q1,26.4,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1992 Q1,38.1,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1992 Q1,29.3,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1992 Q2,34.7,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1992 Q2,38.1,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1992 Q2,29.7,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1992 Q2,36.1,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1992 Q2,31.6,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1992 Q3,34.6,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1992 Q3,36.8,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1992 Q3,30.9,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1992 Q3,37.8,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1992 Q3,31.3,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1992 Q4,40.8,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1992 Q4,40.2,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1992 Q4,38.6,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1992 Q4,46.0,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1992 Q4,39.7,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1993 Q1,34.6,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1993 Q1,37.6,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1993 Q1,27.5,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1993 Q1,40.1,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1993 Q1,30.9,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1993 Q2,36.0,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1993 Q2,39.4,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1993 Q2,30.7,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1993 Q2,38.4,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1993 Q2,32.6,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1993 Q3,36.4,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1993 Q3,38.8,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1993 Q3,32.3,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1993 Q3,40.4,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1993 Q3,32.6,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1993 Q4,42.9,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1993 Q4,41.7,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1993 Q4,41.3,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1993 Q4,49.4,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1993 Q4,41.3,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1994 Q1,36.0,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1994 Q1,38.9,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1994 Q1,29.1,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1994 Q1,42.2,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1994 Q1,32.0,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1994 Q2,37.3,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1994 Q2,40.3,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1994 Q2,32.9,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1994 Q2,39.6,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1994 Q2,33.9,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1994 Q3,37.8,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1994 Q3,40.3,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1994 Q3,34.2,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1994 Q3,41.1,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1994 Q3,34.0,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1994 Q4,45.0,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1994 Q4,43.7,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1994 Q4,43.5,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1994 Q4,51.8,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1994 Q4,43.3,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1995 Q1,36.8,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1995 Q1,39.9,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1995 Q1,29.6,quarterly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Quarterly,1995 Q1,42.8,quarterly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Quarterly,1995 Q1,32.5,quarterly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Quarterly,1995 Q2,38.5,quarterly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Quarterly,1995 Q2,42.3,quarterly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Quarterly,1995 Q2,33.5,quarterly,Clothing and footwear,,,EAWO
